Epoch 1, Loss: 2.781782938696868
Epoch 2, Loss: 2.7119840444179277
Epoch 3, Loss: 2.7119715173986814
Epoch 4, Loss: 2.7119611896066873
Epoch 5, Loss: 2.7119525884097957
Epoch 6, Loss: 2.7119453240486884
Epoch 7, Loss: 2.7118598530027653
Epoch 8, Loss: 2.711854432144505
Epoch 9, Loss: 2.7118494786816507
Epoch 10, Loss: 2.7118449686773314
Epoch 11, Loss: 2.710351501972618
Epoch 12, Loss: 2.7103048436220334
Epoch 13, Loss: 2.710301219127512
Epoch 14, Loss: 2.7102973803265944
Epoch 15, Loss: 2.710293590818844
Epoch 16, Loss: 2.7102897072441676
Epoch 17, Loss: 2.710283475391949
Epoch 18, Loss: 2.710278343421633
Epoch 19, Loss: 2.710272350854927
Epoch 20, Loss: 2.7102655258611072
Epoch 21, Loss: 2.710256979842153
Epoch 22, Loss: 2.7102465588335423
Epoch 23, Loss: 2.7102335093926357
Epoch 24, Loss: 2.710217503677096
Epoch 25, Loss: 2.7101961142783324
Epoch 26, Loss: 2.710167742997687
Epoch 27, Loss: 2.7101311904923437
Epoch 28, Loss: 2.710083592075605
Epoch 29, Loss: 2.7100156923802885
Epoch 30, Loss: 2.7099239326259053
Epoch 31, Loss: 2.7097864465434984
Epoch 32, Loss: 2.7095856208962092
Epoch 33, Loss: 2.709268114750895
Epoch 34, Loss: 2.7087392188046713
Epoch 35, Loss: 2.707841242539819
Epoch 36, Loss: 2.7061204295111385
Epoch 37, Loss: 2.702573726713705
Epoch 38, Loss: 2.6943291663960873
Epoch 39, Loss: 2.6724689818448133
Epoch 40, Loss: 2.6230095463086784
Epoch 41, Loss: 2.597016489075055
Epoch 42, Loss: 2.536952920200869
Epoch 43, Loss: 2.474259446909372
Epoch 44, Loss: 2.4376114386611554
Epoch 45, Loss: 2.410278085899951
Epoch 46, Loss: 2.3817162139087493
Epoch 47, Loss: 2.359752574786082
Epoch 48, Loss: 2.342934253993235
Epoch 49, Loss: 2.3270192544826425
Epoch 50, Loss: 2.3224482273953653
Epoch 51, Loss: 2.3143725548989122
Epoch 52, Loss: 2.308805165432186
Epoch 53, Loss: 2.3077825806055103
Epoch 54, Loss: 2.3054164562836474
Epoch 55, Loss: 2.3081402514471896
Epoch 56, Loss: 2.2980642799883997
Epoch 57, Loss: 2.2916076057252424
Epoch 58, Loss: 2.2808021957073503
Epoch 59, Loss: 2.286771428545459
Epoch 60, Loss: 2.290183179023254
Epoch 61, Loss: 2.2849813848754343
Epoch 62, Loss: 2.2882938962952184
Epoch 63, Loss: 2.283172822805862
Epoch 64, Loss: 2.2723302355435537
Epoch 65, Loss: 2.2626982918613616
Epoch 66, Loss: 2.257714305350111
Epoch 67, Loss: 2.2622812365856504
Epoch 68, Loss: 2.258771300054397
Epoch 69, Loss: 2.26350044244189
Epoch 70, Loss: 2.2516953688624453
Epoch 71, Loss: 2.2648221197668827
Epoch 72, Loss: 2.249645399596341
Epoch 73, Loss: 2.256036779939528
Epoch 74, Loss: 2.259824802488103
Epoch 75, Loss: 2.249128404788951
Epoch 76, Loss: 2.2466773758726313
Epoch 77, Loss: 2.2464089376664527
Epoch 78, Loss: 2.2462174600745803
Epoch 79, Loss: 2.243010251627875
Epoch 80, Loss: 2.238313530400436
Epoch 81, Loss: 2.246360394577125
Epoch 82, Loss: 2.2368681370760055
Epoch 83, Loss: 2.241963522896629
Epoch 84, Loss: 2.2410079766090063
Epoch 85, Loss: 2.233338693617216
Epoch 86, Loss: 2.2364028378398295
Epoch 87, Loss: 2.228799963819912
Epoch 88, Loss: 2.2276959904793934
Epoch 89, Loss: 2.2357159650608045
Epoch 90, Loss: 2.2324765701777944
Epoch 91, Loss: 2.2245716633505377
Epoch 92, Loss: 2.2311074673780302
Epoch 93, Loss: 2.225281282935594
Epoch 94, Loss: 2.232726854783088
Epoch 95, Loss: 2.222620186573847
Epoch 96, Loss: 2.217952199507635
Epoch 97, Loss: 2.227563213053084
Epoch 98, Loss: 2.228746307953517
Epoch 99, Loss: 2.2190672889735463
Epoch 100, Loss: 2.226405414273498
Epoch 101, Loss: 2.219780258617332
Epoch 102, Loss: 2.214888982908847
Epoch 103, Loss: 2.2188178713985236
Epoch 104, Loss: 2.2166161627684797
Epoch 105, Loss: 2.2181074183364045
Epoch 106, Loss: 2.2160640132951825
Epoch 107, Loss: 2.2132304440951267
Epoch 108, Loss: 2.2166633614946636
Epoch 109, Loss: 2.215137085770447
Epoch 110, Loss: 2.2107077498694654
Epoch 111, Loss: 2.20749427208819
Epoch 112, Loss: 2.207423500011946
Epoch 113, Loss: 2.205347712593003
Epoch 114, Loss: 2.2055724291085657
Epoch 115, Loss: 2.2021903908343927
Epoch 116, Loss: 2.2021773686074035
Epoch 117, Loss: 2.2003233302952183
Epoch 118, Loss: 2.2003499010006666
Epoch 119, Loss: 2.197455301310353
Epoch 120, Loss: 2.1961403080427875
Epoch 121, Loss: 2.19621910185066
Epoch 122, Loss: 2.1942928462736964
Epoch 123, Loss: 2.192236368127584
Epoch 124, Loss: 2.1898512873703098
Epoch 125, Loss: 2.1911825391979205
Epoch 126, Loss: 2.1913829348180056
Epoch 127, Loss: 2.184722705980251
Epoch 128, Loss: 2.180755655092185
Epoch 129, Loss: 2.1859567132707642
Epoch 130, Loss: 2.1822056004950654
Epoch 131, Loss: 2.17958430488532
Epoch 132, Loss: 2.174813718508757
Epoch 133, Loss: 2.177150134742919
Epoch 134, Loss: 2.172538109787996
Epoch 135, Loss: 2.1712257236926553
Epoch 136, Loss: 2.1753482009014258
