Epoch 1, Loss: 3.022011476967065
Epoch 2, Loss: 2.7015109780054845
Epoch 3, Loss: 2.693040043849977
Epoch 4, Loss: 2.690303538537591
Epoch 5, Loss: 2.6890214796451337
Epoch 6, Loss: 2.688293224932871
Epoch 7, Loss: 2.687821769449163
Epoch 8, Loss: 2.6874850064759603
Epoch 9, Loss: 2.6872252722833667
Epoch 10, Loss: 2.6870125676571894
Epoch 11, Loss: 2.68683012260849
Epoch 12, Loss: 2.68666802463565
Epoch 13, Loss: 2.6865201457021515
Epoch 14, Loss: 2.6863825538831945
Epoch 15, Loss: 2.686252645440701
Epoch 16, Loss: 2.686128648384599
Epoch 17, Loss: 2.686009327422458
Epoch 18, Loss: 2.6858938027612154
Epoch 19, Loss: 2.685781435612388
Epoch 20, Loss: 2.6856717540009813
Epoch 21, Loss: 2.6855644035938724
Epoch 22, Loss: 2.685459114437396
Epoch 23, Loss: 2.685355678032686
Epoch 24, Loss: 2.6852539312625954
Epoch 25, Loss: 2.6851537449430896
Epoch 26, Loss: 2.68505501554923
Epoch 27, Loss: 2.684957659155053
Epoch 28, Loss: 2.6848616069403697
Epoch 29, Loss: 2.6847668018219495
Epoch 30, Loss: 2.684673195902024
Epoch 31, Loss: 2.6845807485180515
Epoch 32, Loss: 2.684489424739741
Epoch 33, Loss: 2.684399194202213
Epoch 34, Loss: 2.684310030194177
Epoch 35, Loss: 2.684221908941243
Epoch 36, Loss: 2.6841348090397545
Epoch 37, Loss: 2.6840487110075237
Epoch 38, Loss: 2.683963596925967
Epoch 39, Loss: 2.6838794501541248
Epoch 40, Loss: 2.683796255099481
Epoch 41, Loss: 2.683713997033905
Epoch 42, Loss: 2.6836326619455564
Epoch 43, Loss: 2.683552236419586
Epoch 44, Loss: 2.683472707541931
Epoch 45, Loss: 2.683394062821713
Epoch 46, Loss: 2.6833162901286354
Epoch 47, Loss: 2.683239377642504
Epoch 48, Loss: 2.6831633138125506
Epoch 49, Loss: 2.683088087324713
Epoch 50, Loss: 2.683013687075345
Epoch 51, Loss: 2.68294010215015
Epoch 52, Loss: 2.6828673218073447
Epoch 53, Loss: 2.682795335464239
Epoch 54, Loss: 2.6827241326865976
Epoch 55, Loss: 2.6826537031802222
Epoch 56, Loss: 2.682584036784341
Epoch 57, Loss: 2.6825151234664273
Epoch 58, Loss: 2.6824469533181863
Epoch 59, Loss: 2.6823795165524382
Epoch 60, Loss: 2.682312803500735
Epoch 61, Loss: 2.6822468046115318
Epoch 62, Loss: 2.6821815104488027
Epoch 63, Loss: 2.682116911690972
Epoch 64, Loss: 2.6820529991301125
Epoch 65, Loss: 2.6819897636713055
Epoch 66, Loss: 2.6819271963321376
Epoch 67, Loss: 2.681865288242274
Epoch 68, Loss: 2.681804030643079
Epoch 69, Loss: 2.6817434148872574
Epoch 70, Loss: 2.6816834324384993
Epoch 71, Loss: 2.681624074871098
Epoch 72, Loss: 2.6815653338695533
Epoch 73, Loss: 2.681507201228123
Epoch 74, Loss: 2.6814496688503446
Epoch 75, Loss: 2.6813927287485
Epoch 76, Loss: 2.6813363730430324
Epoch 77, Loss: 2.681280593961922
Epoch 78, Loss: 2.6812253838399944
Epoch 79, Loss: 2.681170735118195
Epoch 80, Loss: 2.6811166403428146
Epoch 81, Loss: 2.681063092164657
Epoch 82, Loss: 2.681010083338177
Epoch 83, Loss: 2.6809576067205745
Epoch 84, Loss: 2.6809056552708483
Epoch 85, Loss: 2.6808542220488207
Epoch 86, Loss: 2.680803300214121
Epoch 87, Loss: 2.680752883025156
Epoch 88, Loss: 2.6807029638380375
Epoch 89, Loss: 2.680653536105501
Epoch 90, Loss: 2.6806045933757963
Epoch 91, Loss: 2.680556129291563
Epoch 92, Loss: 2.680508137588694
Epoch 93, Loss: 2.6804606120951777
Epoch 94, Loss: 2.680413546729943
Epoch 95, Loss: 2.6803669355016844
Epoch 96, Loss: 2.680320772507685
Epoch 97, Loss: 2.680275051932638
Epoch 98, Loss: 2.680229768047464
Epoch 99, Loss: 2.680184915208121
Epoch 100, Loss: 2.680140487854427
Epoch 101, Loss: 2.680096480508874
Epoch 102, Loss: 2.6800528877754477
Epoch 103, Loss: 2.6800097043384605
Epoch 104, Loss: 2.6799669249613705
Epoch 105, Loss: 2.679924544485633
Epoch 106, Loss: 2.679882557829531
Epoch 107, Loss: 2.679840959987037
Epoch 108, Loss: 2.679799746026675
Epoch 109, Loss: 2.6797589110903846
Epoch 110, Loss: 2.6797184503924107
Epoch 111, Loss: 2.67967835921819
Epoch 112, Loss: 2.6796386329232544
Epoch 113, Loss: 2.6795992669321507
Epoch 114, Loss: 2.6795602567373638
Epoch 115, Loss: 2.679521597898255
Epoch 116, Loss: 2.6794832860400195
Epoch 117, Loss: 2.6794453168526386
Epoch 118, Loss: 2.679407686089876
Epoch 119, Loss: 2.6793703895682524
Epoch 120, Loss: 2.6793334231660544
Epoch 121, Loss: 2.679296782822358
Epoch 122, Loss: 2.6792604645360525
Epoch 123, Loss: 2.6792244643648906
Epoch 124, Loss: 2.679188778424543
Epoch 125, Loss: 2.67915340288767
Epoch 126, Loss: 2.679118333983013
Epoch 127, Loss: 2.679083567994488
Epoch 128, Loss: 2.6790491012602997
Epoch 129, Loss: 2.679014930172072
Epoch 130, Loss: 2.6789810511739818
Epoch 131, Loss: 2.6789474607619144
Epoch 132, Loss: 2.6789141554826332
Epoch 133, Loss: 2.6788811319329535
Epoch 134, Loss: 2.6788483867589408
Epoch 135, Loss: 2.6788159166551115
Epoch 136, Loss: 2.678783718363657
