Epoch 1, Loss: 3.6649864999772506
Epoch 2, Loss: 3.43489365253329
Epoch 3, Loss: 3.4243478973594037
Epoch 4, Loss: 3.4235572816062745
Epoch 5, Loss: 3.4234509421273494
Epoch 6, Loss: 3.4234322417952447
Epoch 7, Loss: 3.4234286548097392
Epoch 8, Loss: 3.4234279829731094
Epoch 9, Loss: 3.423427811439438
Epoch 10, Loss: 3.423427784800211
Epoch 11, Loss: 3.423427754067158
Epoch 12, Loss: 3.423427772571463
Epoch 13, Loss: 3.4234277255456327
Epoch 14, Loss: 3.4234277126595845
Epoch 15, Loss: 3.4234277212090083
Epoch 16, Loss: 3.4234276860874067
Epoch 17, Loss: 3.423427675761651
Epoch 18, Loss: 3.4234276623399875
Epoch 19, Loss: 3.4234276500322958
Epoch 20, Loss: 3.4234276428133685
Epoch 21, Loss: 3.423427630209093
Epoch 22, Loss: 3.4234276192667794
Epoch 23, Loss: 3.4234276125159173
Epoch 24, Loss: 3.4234276000056343
Epoch 25, Loss: 3.4234275893940374
Epoch 26, Loss: 3.4234275779074426
Epoch 27, Loss: 3.4234275757964356
Epoch 28, Loss: 3.4234275960376874
Epoch 29, Loss: 3.423427601317817
Epoch 30, Loss: 3.4234275830527077
Epoch 31, Loss: 3.4234275763193485
Epoch 32, Loss: 3.4234275694150336
Epoch 33, Loss: 3.4234275623683206
Epoch 34, Loss: 3.4234275348101946
Epoch 35, Loss: 3.423427541528984
Epoch 36, Loss: 3.423427523555335
Epoch 37, Loss: 3.423427500439042
Epoch 38, Loss: 3.4234275038349717
Epoch 39, Loss: 3.4234274895712815
Epoch 40, Loss: 3.423427550018977
Epoch 41, Loss: 3.4234275379780286
Epoch 42, Loss: 3.4234275153061002
Epoch 43, Loss: 3.423427513025309
Epoch 44, Loss: 3.4234275379056993
Epoch 45, Loss: 3.4234274519700385
Epoch 46, Loss: 3.4234274854056856
Epoch 47, Loss: 3.423427478744274
Epoch 48, Loss: 3.423427472524095
Epoch 49, Loss: 3.423427466098484
Epoch 50, Loss: 3.4234274598810197
Epoch 51, Loss: 3.423427379543596
Epoch 52, Loss: 3.4234275086178054
Epoch 53, Loss: 3.423427367795342
Epoch 54, Loss: 3.423427373429874
Epoch 55, Loss: 3.423427376552808
Epoch 56, Loss: 3.4234273653923144
Epoch 57, Loss: 3.423427353646471
Epoch 58, Loss: 3.42342747915512
Epoch 59, Loss: 3.423427334675594
Epoch 60, Loss: 3.4234274042902384
Epoch 61, Loss: 3.4234273543063827
Epoch 62, Loss: 3.423427460265133
Epoch 63, Loss: 3.423427321535832
Epoch 64, Loss: 3.423427375501345
Epoch 65, Loss: 3.423427307353483
Epoch 66, Loss: 3.423427313783731
Epoch 67, Loss: 3.4234273064020453
Epoch 68, Loss: 3.423427307187757
Epoch 69, Loss: 3.4234272973208197
Epoch 70, Loss: 3.423427300128912
Epoch 71, Loss: 3.4234272618384405
Epoch 72, Loss: 3.4234273754235374
Epoch 73, Loss: 3.423427270792334
Epoch 74, Loss: 3.4234272743623206
Epoch 75, Loss: 3.4234272712687144
Epoch 76, Loss: 3.4234272666384697
Epoch 77, Loss: 3.4234272618449273
Epoch 78, Loss: 3.4234272568666553
Epoch 79, Loss: 3.4234272519764857
Epoch 80, Loss: 3.4234272470301472
Epoch 81, Loss: 3.423427242138855
Epoch 82, Loss: 3.423427237348917
Epoch 83, Loss: 3.4234272325346704
Epoch 84, Loss: 3.4234272278858078
Epoch 85, Loss: 3.4234272234323986
Epoch 86, Loss: 3.4234272194273982
Epoch 87, Loss: 3.4234272128329177
Epoch 88, Loss: 3.4234272107059907
Epoch 89, Loss: 3.4234272051899524
Epoch 90, Loss: 3.4234272005245994
Epoch 91, Loss: 3.4234271964394765
Epoch 92, Loss: 3.4234271919393207
Epoch 93, Loss: 3.4234271875808244
Epoch 94, Loss: 3.4234271832962193
Epoch 95, Loss: 3.423427179074615
Epoch 96, Loss: 3.423427173045897
Epoch 97, Loss: 3.42342717137289
Epoch 98, Loss: 3.4234271665585796
Epoch 99, Loss: 3.4234271623678607
Epoch 100, Loss: 3.4234271583540816
Epoch 101, Loss: 3.4234271545442496
Epoch 102, Loss: 3.4234271506281613
Epoch 103, Loss: 3.4234271469075925
Epoch 104, Loss: 3.4234271432978884
Epoch 105, Loss: 3.4234271394673352
Epoch 106, Loss: 3.4234271366760964
Epoch 107, Loss: 3.423427132645396
Epoch 108, Loss: 3.423427128234935
Epoch 109, Loss: 3.4234271250938106
Epoch 110, Loss: 3.4234271239190814
Epoch 111, Loss: 3.4234271198458104
Epoch 112, Loss: 3.4234271164578187
Epoch 113, Loss: 3.423427113223608
Epoch 114, Loss: 3.423427110074392
Epoch 115, Loss: 3.4234271067286177
Epoch 116, Loss: 3.4234271037379633
Epoch 117, Loss: 3.4234271000486958
Epoch 118, Loss: 3.423427097899214
Epoch 119, Loss: 3.423427094232692
Epoch 120, Loss: 3.4234270910225946
Epoch 121, Loss: 3.423427088667494
Epoch 122, Loss: 3.423427085609758
Epoch 123, Loss: 3.4234270825966524
Epoch 124, Loss: 3.4234270795809687
Epoch 125, Loss: 3.423427076542577
Epoch 126, Loss: 3.423427072851434
Epoch 127, Loss: 3.4234270704881653
Epoch 128, Loss: 3.423427067060117
Epoch 129, Loss: 3.4234270637112036
Epoch 130, Loss: 3.4234270613392255
Epoch 131, Loss: 3.4234270582877864
Epoch 132, Loss: 3.4234270552612864
Epoch 133, Loss: 3.4234270527636537
Epoch 134, Loss: 3.4234270494839474
Epoch 135, Loss: 3.423427045706597
