Epoch 1, Loss: 2.771101349586627
Epoch 2, Loss: 2.698709783974157
Epoch 3, Loss: 2.698676017094875
Epoch 4, Loss: 2.698645272839274
Epoch 5, Loss: 2.698616385828369
Epoch 6, Loss: 2.6985882391149145
Epoch 7, Loss: 2.6985596847444424
Epoch 8, Loss: 2.698529451308596
Epoch 9, Loss: 2.698496025821939
Epoch 10, Loss: 2.698457488838648
Epoch 11, Loss: 2.698411268797623
Epoch 12, Loss: 2.698353757319314
Epoch 13, Loss: 2.6982796808587235
Epoch 14, Loss: 2.698181032784852
Epoch 15, Loss: 2.6980451822013047
Epoch 16, Loss: 2.69785137036947
Epoch 17, Loss: 2.6975638784739258
Epoch 18, Loss: 2.6971178847617554
Epoch 19, Loss: 2.696388045312517
Epoch 20, Loss: 2.6951125270350924
Epoch 21, Loss: 2.692689624026006
Epoch 22, Loss: 2.6875638708388743
Epoch 23, Loss: 2.675134978823242
Epoch 24, Loss: 2.6407901732074506
Epoch 25, Loss: 2.5654696729184714
Epoch 26, Loss: 2.533828861676901
Epoch 27, Loss: 2.494674039746027
Epoch 28, Loss: 2.461552315835384
Epoch 29, Loss: 2.437606206559128
Epoch 30, Loss: 2.4198223771983165
Epoch 31, Loss: 2.4061757093427247
Epoch 32, Loss: 2.3953645551479608
Epoch 33, Loss: 2.386556707465609
Epoch 34, Loss: 2.379208714084284
Epoch 35, Loss: 2.372952734261069
Epoch 36, Loss: 2.367529659327563
Epoch 37, Loss: 2.3627495329984622
Epoch 38, Loss: 2.358467395842666
Epoch 39, Loss: 2.3545678275940722
Epoch 40, Loss: 2.350954402673471
Epoch 41, Loss: 2.347541864241751
Epoch 42, Loss: 2.3442496771803536
Epoch 43, Loss: 2.3409960959830283
Epoch 44, Loss: 2.3376922019462567
Epoch 45, Loss: 2.33423571052575
Epoch 46, Loss: 2.3305049375687292
Epoch 47, Loss: 2.32635440654492
Epoch 48, Loss: 2.321615407734675
Epoch 49, Loss: 2.31610726314775
Epoch 50, Loss: 2.30966699873818
Epoch 51, Loss: 2.3022037218994766
Epoch 52, Loss: 2.2937745849452695
Epoch 53, Loss: 2.2846579962158913
Epoch 54, Loss: 2.275372737425316
Epoch 55, Loss: 2.2665871585107413
Epoch 56, Loss: 2.2589188276020815
Epoch 57, Loss: 2.2527249007607284
Epoch 58, Loss: 2.2480199921666757
Epoch 59, Loss: 2.2445610156085256
Epoch 60, Loss: 2.242008835780751
Epoch 61, Loss: 2.2400552845332653
Epoch 62, Loss: 2.2384751971859496
Epoch 63, Loss: 2.2371237729104245
Epoch 64, Loss: 2.2359122765532304
Epoch 65, Loss: 2.2347841013776097
Epoch 66, Loss: 2.233700225942529
Epoch 67, Loss: 2.2326337940972407
Epoch 68, Loss: 2.231569077251449
Epoch 69, Loss: 2.2305004498935483
Epoch 70, Loss: 2.229429845480373
Epoch 71, Loss: 2.2283634066274502
Epoch 72, Loss: 2.227308535996005
Epoch 73, Loss: 2.226271984831213
Epoch 74, Loss: 2.2252589704665744
Epoch 75, Loss: 2.22427300515947
Epoch 76, Loss: 2.2233160970920247
Epoch 77, Loss: 2.222389083571264
Epoch 78, Loss: 2.221491964568546
Epoch 79, Loss: 2.2206241810669196
Epoch 80, Loss: 2.219784825395289
Epoch 81, Loss: 2.218972790128218
Epoch 82, Loss: 2.218186868452498
Epoch 83, Loss: 2.2174258190496405
Epoch 84, Loss: 2.216688406367676
Epoch 85, Loss: 2.21597342451175
Epoch 86, Loss: 2.215279710624227
Epoch 87, Loss: 2.2146061517683564
Epoch 88, Loss: 2.2139516879642707
Epoch 89, Loss: 2.213315313064384
Epoch 90, Loss: 2.212696074498832
Epoch 91, Loss: 2.2120930724854384
Epoch 92, Loss: 2.211505459017032
Epoch 93, Loss: 2.2109324367636916
Epoch 94, Loss: 2.2103732579242688
Epoch 95, Loss: 2.2098272230066507
Epoch 96, Loss: 2.209293679492728
Epoch 97, Loss: 2.208772020340642
Epoch 98, Loss: 2.208261682285353
Epoch 99, Loss: 2.207762143913404
Epoch 100, Loss: 2.2072729235051485
