Epoch 1, Loss: 1.800015504542226
Epoch 2, Loss: 1.779453390479366
Epoch 3, Loss: 1.7794492470995382
Epoch 4, Loss: 1.7794458243640774
Epoch 5, Loss: 1.7794431368665427
Epoch 6, Loss: 1.7794409221602074
Epoch 7, Loss: 1.7794391464321326
Epoch 8, Loss: 1.7794377037412488
Epoch 9, Loss: 1.779436517505165
Epoch 10, Loss: 1.7794355635122863
Epoch 11, Loss: 1.7794348082120752
Epoch 12, Loss: 1.779434156076626
Epoch 13, Loss: 1.7794335932554393
Epoch 14, Loss: 1.7794331579487879
Epoch 15, Loss: 1.7794328431199977
Epoch 16, Loss: 1.7794325842175573
Epoch 17, Loss: 1.7794323780547217
Epoch 18, Loss: 1.7794322163428788
Epoch 19, Loss: 1.7794321191451765
Epoch 20, Loss: 1.7749387387808164
Epoch 21, Loss: 1.7569538364921202
Epoch 22, Loss: 1.7569476840913225
Epoch 23, Loss: 1.7569479060009199
Epoch 24, Loss: 1.6449610314504242
Epoch 25, Loss: 1.4105626954926627
Epoch 26, Loss: 1.4105484742005825
Epoch 27, Loss: 1.4105453910959693
Epoch 28, Loss: 1.4105427536205744
Epoch 29, Loss: 1.4105407883793968
Epoch 30, Loss: 1.4105392435173638
Epoch 31, Loss: 1.4105379279779031
Epoch 32, Loss: 1.4105369913150803
Epoch 33, Loss: 1.4105361306603952
Epoch 34, Loss: 1.4105355825459893
Epoch 35, Loss: 1.4105347884975343
Epoch 36, Loss: 1.410534148306742
Epoch 37, Loss: 1.4105333142367082
Epoch 38, Loss: 1.4105334662865827
Epoch 39, Loss: 1.4105326708078474
Epoch 40, Loss: 1.4105318570424727
Epoch 41, Loss: 1.4105312528449072
Epoch 42, Loss: 1.4105300934026148
Epoch 43, Loss: 1.410529180523441
Epoch 44, Loss: 1.4105270266854315
Epoch 45, Loss: 1.4105241030295501
Epoch 46, Loss: 1.4105204348009612
Epoch 47, Loss: 1.4105152794019749
Epoch 48, Loss: 1.4105217829996624
Epoch 49, Loss: 1.410502602170208
Epoch 50, Loss: 1.4104816114209349
Epoch 51, Loss: 1.410448038137001
Epoch 52, Loss: 1.4104034346674084
Epoch 53, Loss: 1.4103292437723953
Epoch 54, Loss: 1.410204135080758
Epoch 55, Loss: 1.4099892676282302
Epoch 56, Loss: 1.4096002360829178
Epoch 57, Loss: 1.4088871732363137
Epoch 58, Loss: 1.4075596457555362
Epoch 59, Loss: 1.4050166688423935
Epoch 60, Loss: 1.4002848869184858
Epoch 61, Loss: 1.4062806499641844
Epoch 62, Loss: 1.4083514877945014
Epoch 63, Loss: 1.4104963969375839
Epoch 64, Loss: 1.4110364175886387
Epoch 65, Loss: 1.4064007776116276
Epoch 66, Loss: 1.3851861895894242
Epoch 67, Loss: 1.431461969359316
Epoch 68, Loss: 1.7135435090551645
Epoch 69, Loss: 1.7294916870234285
Epoch 70, Loss: 1.72460171732888
Epoch 71, Loss: 1.7364683829923213
Epoch 72, Loss: 1.7391368473812874
Epoch 73, Loss: 1.7343334065689946
Epoch 74, Loss: 1.7295131093574558
Epoch 75, Loss: 1.7259729620381183
Epoch 76, Loss: 1.7315132879508388
Epoch 77, Loss: 1.7143059473550546
Epoch 78, Loss: 1.7289279936288113
Epoch 79, Loss: 1.7215951264633906
Epoch 80, Loss: 1.7022577562477772
Epoch 81, Loss: 1.7310524385155837
Epoch 82, Loss: 1.7089006913106903
Epoch 83, Loss: 1.7063363745852396
Epoch 84, Loss: 1.705315718241447
Epoch 85, Loss: 1.7165545609549349
Epoch 86, Loss: 1.7087470475224231
Epoch 87, Loss: 1.7115848435322782
Epoch 88, Loss: 1.703486246247556
Epoch 89, Loss: 1.7034746182836047
Epoch 90, Loss: 1.7084675834792449
Epoch 91, Loss: 1.7006970744048449
Epoch 92, Loss: 1.7019988171456375
Epoch 93, Loss: 1.7092536540801713
Epoch 94, Loss: 1.7051763219270362
Epoch 95, Loss: 1.7020222990695295
Epoch 96, Loss: 1.700982632291359
Epoch 97, Loss: 1.691284053186771
Epoch 98, Loss: 1.6961077243338272
Epoch 99, Loss: 1.7001767029755404
Epoch 100, Loss: 1.6905433222628075
Epoch 101, Loss: 1.6809962456686895
Epoch 102, Loss: 1.6819007230453547
Epoch 103, Loss: 1.6787893574730257
Epoch 104, Loss: 1.6907564961266321
Epoch 105, Loss: 1.7037052600199587
Epoch 106, Loss: 1.7040523002219043
Epoch 107, Loss: 1.6834844198998247
Epoch 108, Loss: 1.6771523113757199
Epoch 109, Loss: 1.691052844661156
Epoch 110, Loss: 1.7027673412844258
Epoch 111, Loss: 1.6907110747673952
Epoch 112, Loss: 1.682667477948678
Epoch 113, Loss: 1.6918277511723279
Epoch 114, Loss: 1.6953737039319596
Epoch 115, Loss: 1.6919363177490767
Epoch 116, Loss: 1.6902132675879729
Epoch 117, Loss: 1.6825606485147184
Epoch 118, Loss: 1.680918592668403
Epoch 119, Loss: 1.6726456063943846
Epoch 120, Loss: 1.6881291564852998
Epoch 121, Loss: 1.6762780076519357
Epoch 122, Loss: 1.6809171954517248
Epoch 123, Loss: 1.6830497418996462
Epoch 124, Loss: 1.680021005430043
Epoch 125, Loss: 1.6804735883783952
Epoch 126, Loss: 1.4694219855456656
Epoch 127, Loss: 1.3321151091165861
Epoch 128, Loss: 1.2734030086143913
Epoch 129, Loss: 1.2907894667517124
Epoch 130, Loss: 1.2691060898373907
Epoch 131, Loss: 1.252541835372267
Epoch 132, Loss: 1.2396811985205192
Epoch 133, Loss: 1.2279207469789513
Epoch 134, Loss: 1.217329718265226
