Epoch 1, Loss: 3.154131069997882
Epoch 2, Loss: 2.70072204993388
Epoch 3, Loss: 2.674344280992736
Epoch 4, Loss: 2.6719162012452
Epoch 5, Loss: 2.671633342259717
Epoch 6, Loss: 2.6715917459703555
Epoch 7, Loss: 2.6715838023376848
Epoch 8, Loss: 2.671581913478056
Epoch 9, Loss: 2.6715813841093285
Epoch 10, Loss: 2.671581201265438
Epoch 11, Loss: 2.671581111045105
Epoch 12, Loss: 2.6715810456664877
Epoch 13, Loss: 2.6715809868221996
Epoch 14, Loss: 2.6715809296479653
Epoch 15, Loss: 2.6715808728993866
Epoch 16, Loss: 2.671580816278583
Epoch 17, Loss: 2.6715807597225902
Epoch 18, Loss: 2.6715807032215437
Epoch 19, Loss: 2.6715806467753733
Epoch 20, Loss: 2.671580590384791
Epoch 21, Loss: 2.671580534049988
Epoch 22, Loss: 2.671580477770741
Epoch 23, Loss: 2.671580421546608
Epoch 24, Loss: 2.6715803653770522
Epoch 25, Loss: 2.671580309261502
Epoch 26, Loss: 2.671580253199365
Epoch 27, Loss: 2.671580197190048
Epoch 28, Loss: 2.671580141232956
Epoch 29, Loss: 2.6715800853274945
Epoch 30, Loss: 2.671580029473067
Epoch 31, Loss: 2.6715799736690813
Epoch 32, Loss: 2.671579917914943
Epoch 33, Loss: 2.6715798622100615
Epoch 34, Loss: 2.6715798065538445
Epoch 35, Loss: 2.6715797509457024
Epoch 36, Loss: 2.671579695385045
Epoch 37, Loss: 2.6715796398712843
Epoch 38, Loss: 2.6715795844038333
Epoch 39, Loss: 2.671579528982102
Epoch 40, Loss: 2.6715794736055076
Epoch 41, Loss: 2.6715794182734633
Epoch 42, Loss: 2.6715793629853843
Epoch 43, Loss: 2.6715793077406866
Epoch 44, Loss: 2.6715792525387876
Epoch 45, Loss: 2.6715791973791037
Epoch 46, Loss: 2.6715791422610544
Epoch 47, Loss: 2.6715790871840586
Epoch 48, Loss: 2.671579032147534
Epoch 49, Loss: 2.671578977150903
Epoch 50, Loss: 2.6715789221935857
Epoch 51, Loss: 2.6715788672750027
Epoch 52, Loss: 2.6715788123945767
Epoch 53, Loss: 2.6715787575517314
Epoch 54, Loss: 2.6715787027458893
Epoch 55, Loss: 2.671578647976473
Epoch 56, Loss: 2.671578593242909
Epoch 57, Loss: 2.67157853854462
Epoch 58, Loss: 2.6715784838810333
Epoch 59, Loss: 2.671578429251574
Epoch 60, Loss: 2.671578374655669
Epoch 61, Loss: 2.671578320092745
Epoch 62, Loss: 2.6715782655622284
Epoch 63, Loss: 2.671578211063548
Epoch 64, Loss: 2.6715781565961323
Epoch 65, Loss: 2.6715781021594087
Epoch 66, Loss: 2.6715780477528077
Epoch 67, Loss: 2.6715779933757586
Epoch 68, Loss: 2.6715779390276895
Epoch 69, Loss: 2.671577884708032
Epoch 70, Loss: 2.6715778304162163
Epoch 71, Loss: 2.6715777761516737
Epoch 72, Loss: 2.671577721913835
Epoch 73, Loss: 2.67157766770213
Epoch 74, Loss: 2.6715776135159937
Epoch 75, Loss: 2.6715775593548563
Epoch 76, Loss: 2.6715775052181487
Epoch 77, Loss: 2.6715774511053056
Epoch 78, Loss: 2.671577397015759
Epoch 79, Loss: 2.6715773429489404
Epoch 80, Loss: 2.6715772889042864
Epoch 81, Loss: 2.6715772348812274
Epoch 82, Loss: 2.6715771808791966
Epoch 83, Loss: 2.67157712689763
Epoch 84, Loss: 2.671577072935959
Epoch 85, Loss: 2.6715770189936183
Epoch 86, Loss: 2.6715769650700434
Epoch 87, Loss: 2.6715769111646663
Epoch 88, Loss: 2.671576857276922
Epoch 89, Loss: 2.671576803406244
Epoch 90, Loss: 2.671576749552068
Epoch 91, Loss: 2.671576695713827
Epoch 92, Loss: 2.6715766418909563
Epoch 93, Loss: 2.6715765880828894
Epoch 94, Loss: 2.6715765342890605
Epoch 95, Loss: 2.6715764805089064
Epoch 96, Loss: 2.671576426741858
Epoch 97, Loss: 2.671576372987351
Epoch 98, Loss: 2.6715763192448194
Epoch 99, Loss: 2.671576265513698
Epoch 100, Loss: 2.6715762117934205
